Strng:doesn't talk<count> Count:2<count> Probability:0.0
Strng:muscle injuries<count> Count:2<count> Probability:0.0
Strng:missing school<count> Count:2<count> Probability:0.0
Strng:getting slapped<count> Count:2<count> Probability:0.0
Strng:hearing shit<count> Count:2<count> Probability:0.0
Strng:drinking coffee<count> Count:2<count> Probability:0.0
Strng:seeing what<count> Count:2<count> Probability:0.0
Strng:traveling #delayed<count> Count:2<count> Probability:0.0
Strng:gettin hit<count> Count:2<count> Probability:0.0
Strng:driving next<count> Count:2<count> Probability:0.0
Strng:reading stories<count> Count:2<count> Probability:0.0
Strng:rt thanks<count> Count:2<count> Probability:0.0
Strng:taken women<count> Count:2<count> Probability:0.0
Strng:watching baseball<count> Count:2<count> Probability:0.0
Strng:drama in<count> Count:2<count> Probability:0.0
Strng:seeing people's<count> Count:2<count> Probability:0.0
Strng:is great<count> Count:2<count> Probability:0.0
Strng:getn deefyd<count> Count:2<count> Probability:0.0
Strng:having religious<count> Count:2<count> Probability:0.0
Strng:taking freezing<count> Count:2<count> Probability:0.0
Strng:bein called<count> Count:2<count> Probability:0.0
Strng:having parents<count> Count:2<count> Probability:0.0
Strng:being body<count> Count:2<count> Probability:0.0
Strng:looking outside<count> Count:2<count> Probability:0.0
Strng:algebra {number}<count> Count:2<count> Probability:0.0
Strng:learning new<count> Count:2<count> Probability:0.0
Strng:coming back<count> Count:2<count> Probability:0.0
Strng:selling things<count> Count:2<count> Probability:0.0
Strng:playing hide<count> Count:2<count> Probability:0.0
Strng:taking antibiotics<count> Count:2<count> Probability:0.0
Strng:waiting rooms<count> Count:2<count> Probability:0.0
Strng:taking test<count> Count:2<count> Probability:0.0
Strng:feeling involved<count> Count:2<count> Probability:0.0
Strng:spilling hot<count> Count:2<count> Probability:0.0
Strng:having big<count> Count:2<count> Probability:0.0
Strng:comments that<count> Count:2<count> Probability:0.0
Strng:feeling used<count> Count:2<count> Probability:0.0
Strng:texting all<count> Count:2<count> Probability:0.0
Strng:being stranded<count> Count:2<count> Probability:0.0
Strng:eating lunch<count> Count:2<count> Probability:0.0
Strng:school d<count> Count:2<count> Probability:0.0
Strng:doing all<count> Count:2<count> Probability:0.0
Strng:talking tests<count> Count:2<count> Probability:0.0
Strng:being constantly<count> Count:2<count> Probability:0.0
Strng:waking to<count> Count:2<count> Probability:0.0
Strng:hacking and<count> Count:2<count> Probability:0.0
Strng:being around<count> Count:2<count> Probability:0.0
Strng:burnt garlic<count> Count:2<count> Probability:0.0
Strng:reading school<count> Count:2<count> Probability:0.0
Strng:have responsibilities<count> Count:2<count> Probability:0.0
Strng:procrastinating thanks<count> Count:2<count> Probability:0.0
Strng:getting cupcakes<count> Count:2<count> Probability:0.0
Strng:having anxiety<count> Count:2<count> Probability:0.0
Strng:passing out<count> Count:2<count> Probability:0.0
Strng:gettin stung<count> Count:2<count> Probability:0.0
Strng:being gone<count> Count:2<count> Probability:0.0
Strng:being upset<count> Count:2<count> Probability:0.0
Strng:getting lost<count> Count:2<count> Probability:0.0
Strng:getting mentions<count> Count:2<count> Probability:0.0
Strng:having that<count> Count:2<count> Probability:0.0
Strng:spending weekends<count> Count:2<count> Probability:0.0
Strng:getting tagged<count> Count:2<count> Probability:0.0
Strng:folding laundry<count> Count:2<count> Probability:0.0
Strng:hearing college<count> Count:2<count> Probability:0.0
Strng:colds they<count> Count:2<count> Probability:0.0
Strng:doing other<count> Count:2<count> Probability:0.0
Strng:coming from<count> Count:2<count> Probability:0.0
Strng:ending a<count> Count:2<count> Probability:0.0
Strng:being interrupted<count> Count:2<count> Probability:0.0
Strng:being my<count> Count:2<count> Probability:0.0
Strng:moving giant<count> Count:2<count> Probability:0.0
Strng:playing phone<count> Count:2<count> Probability:0.0
Strng:being hate<count> Count:2<count> Probability:0.0
Strng:hearing teen<count> Count:2<count> Probability:0.0
Strng:doing rehashing<count> Count:2<count> Probability:0.0
Strng:playing babysitter<count> Count:2<count> Probability:0.0
Strng:being blackmail<count> Count:2<count> Probability:0.0
Strng:being ugly<count> Count:2<count> Probability:0.0
Strng:having papers<count> Count:2<count> Probability:0.0
Strng:doing act<count> Count:2<count> Probability:0.0
Strng:having privates<count> Count:2<count> Probability:0.0
Strng:making plans<count> Count:2<count> Probability:0.0
Strng:walking other<count> Count:2<count> Probability:0.0
Strng:living on<count> Count:2<count> Probability:0.0
Strng:being dragged<count> Count:2<count> Probability:0.0
Strng:weekends in<count> Count:2<count> Probability:0.0
Strng:having cigarette<count> Count:2<count> Probability:0.0
Strng:being out<count> Count:2<count> Probability:0.0
Strng:scrolling through<count> Count:2<count> Probability:0.0
Strng:doing dishes<count> Count:2<count> Probability:0.0
Strng:shoveling all<count> Count:2<count> Probability:0.0
Strng:seeing advertisements<count> Count:2<count> Probability:0.0
Strng:leaving campus<count> Count:2<count> Probability:0.0
Strng:getting audited<count> Count:2<count> Probability:0.0
Strng:being taking<count> Count:2<count> Probability:0.0
Strng:walking slow<count> Count:2<count> Probability:0.0
Strng:having ashes<count> Count:2<count> Probability:0.0
Strng:ruined plans<count> Count:2<count> Probability:0.0
Strng:closing red<count> Count:2<count> Probability:0.0
Strng:being pulled<count> Count:2<count> Probability:0.0
Strng:#byh #skeptical<count> Count:2<count> Probability:0.0
Strng:having baseball<count> Count:2<count> Probability:0.0
Strng:buying car<count> Count:2<count> Probability:0.0
Strng:being invisible<count> Count:2<count> Probability:0.0
Strng:going {number}<count> Count:2<count> Probability:0.0
Strng:having creepers<count> Count:2<count> Probability:0.0
Strng:talking politics<count> Count:2<count> Probability:0.0
Strng:having this<count> Count:2<count> Probability:0.0
Strng:seeing someone<count> Count:2<count> Probability:0.0
Strng:watching basketball<count> Count:2<count> Probability:0.0
Strng:being berated<count> Count:2<count> Probability:0.0
Strng:meeting cute<count> Count:2<count> Probability:0.0
Strng:making a<count> Count:2<count> Probability:0.0
Strng:wearing sticky<count> Count:2<count> Probability:0.0
Strng:opening shifts<count> Count:2<count> Probability:0.0
Strng:running out<count> Count:2<count> Probability:0.0
