Strng:spending loads of<count> Count:2<count> Probability:1.0
Strng:waiting an hour<count> Count:2<count> Probability:0.6
Strng:coming home after<count> Count:2<count> Probability:0.75
Strng:writing essays and<count> Count:2<count> Probability:1.0
Strng:missing class because<count> Count:2<count> Probability:1.0
Strng:is being ignored<count> Count:2<count> Probability:1.0
Strng:being woken in<count> Count:2<count> Probability:1.0
Strng:closing red robin<count> Count:2<count> Probability:1.0
Strng:getting pulled out<count> Count:2<count> Probability:1.0
Strng:being caught by<count> Count:2<count> Probability:0.5
Strng:having alcoholics for<count> Count:2<count> Probability:1.0
Strng:seeing people's stupid<count> Count:2<count> Probability:1.0
Strng:getting {number} calf<count> Count:2<count> Probability:0.01
Strng:watching others play<count> Count:2<count> Probability:1.0
Strng:spending an hour<count> Count:2<count> Probability:1.0
Strng:being reminded each<count> Count:2<count> Probability:1.0
Strng:having shingles #killmenow<count> Count:2<count> Probability:0.01
Strng:getting told off<count> Count:2<count> Probability:1.0
Strng:getting back from<count> Count:2<count> Probability:1.0
Strng:getting embarrassed in<count> Count:2<count> Probability:1.0
Strng:getting bodily fluids<count> Count:2<count> Probability:1.0
Strng:doing is paying<count> Count:2<count> Probability:1.0
Strng:sitting home doing<count> Count:2<count> Probability:1.0
Strng:having seasonal allergies<count> Count:2<count> Probability:1.0
Strng:buying a new<count> Count:2<count> Probability:0.4
Strng:being sick this<count> Count:2<count> Probability:1.0
Strng:doing the {number}<count> Count:2<count> Probability:0.01
Strng:being told that<count> Count:2<count> Probability:0.6666667
Strng:having a lot<count> Count:2<count> Probability:0.75
Strng:being sick as<count> Count:2<count> Probability:0.5
Strng:feeling depressed and<count> Count:2<count> Probability:1.0
Strng:hearing rumors about<count> Count:2<count> Probability:0.33333334
Strng:having strange guys<count> Count:2<count> Probability:1.0
Strng:being sick #thanksgarret<count> Count:2<count> Probability:1.0
Strng:sitting in emerg<count> Count:2<count> Probability:1.0
Strng:being canceled on<count> Count:2<count> Probability:1.0
Strng:coming to the<count> Count:2<count> Probability:0.23076923
Strng:getting stalked it's<count> Count:2<count> Probability:1.0
Strng:getting audited that<count> Count:2<count> Probability:1.0
Strng:cleaning other people's<count> Count:2<count> Probability:1.0
Strng:cleaning everything for<count> Count:2<count> Probability:1.0
Strng:doing homework with<count> Count:2<count> Probability:1.0
Strng:getting depressing news<count> Count:2<count> Probability:1.0
Strng:having big brothers<count> Count:2<count> Probability:1.0
Strng:getting a headache<count> Count:2<count> Probability:1.0
Strng:peeing in the<count> Count:2<count> Probability:0.6666667
Strng:being ignored #pissyassmood<count> Count:2<count> Probability:0.01
Strng:getting lied to<count> Count:2<count> Probability:1.0
Strng:playing phone tag<count> Count:2<count> Probability:0.6666667
Strng:having my plans<count> Count:2<count> Probability:1.0
Strng:passing out #embarrassing<count> Count:2<count> Probability:0.01
Strng:doing drugs all<count> Count:2<count> Probability:1.0
Strng:seeing city girls<count> Count:2<count> Probability:1.0
Strng:having bad days<count> Count:2<count> Probability:1.0
Strng:being taken for<count> Count:2<count> Probability:0.5
Strng:car rides where<count> Count:2<count> Probability:1.0
Strng:reading conceited egotistic<count> Count:2<count> Probability:1.0
Strng:seeing all these<count> Count:2<count> Probability:0.71428573
Strng:being used its<count> Count:2<count> Probability:1.0
Strng:watching sad movies<count> Count:2<count> Probability:1.0
Strng:being called stupid<count> Count:2<count> Probability:1.0
Strng:seeing random photos<count> Count:2<count> Probability:1.0
Strng:burnt garlic bread<count> Count:2<count> Probability:1.0
